choice_0_0;choice_1_0;choice_2_0;choice_3_0;av_0_0;av_1_0;av_2_0;av_3_0;LADE_TANK_ZEIT_0_0;LADE_TANK_ZEIT_1_0;LADE_TANK_ZEIT_2_0;LADE_TANK_ZEIT_3_0;MEAN_HH_AGE_0_0;MEAN_HH_AGE_1_0;MEAN_HH_AGE_2_0;MEAN_HH_AGE_3_0;RELATIVER_KAUFPREIS_0_0;REICHWEITE_DURCH100_0_0;RELATIVER_KAUFPREIS_1_0;REICHWEITE_DURCH100_1_0;RELATIVER_KAUFPREIS_2_0;REICHWEITE_DURCH100_2_0;RELATIVER_KAUFPREIS_3_0;REICHWEITE_DURCH100_3_0
0;0;0;1;1;1;0;1;2;2;0;2;17.33333333;17.33333333;17.33333333;17.33333333;17.64705882;5;3.529411765;7;0;0;9.411764706;8
0;0;0;1;0;0;1;1;0;0;15;2;68.5;68.5;68.5;68.5;0;0;0;0;12.72727273;2.5;23.63636364;6
1;0;0;0;1;1;0;1;2;2;0;2;22.4;22.4;22.4;22.4;15.29411765;7;10.58823529;9;0;0;12.94117647;4
0;0;0;1;1;0;1;1;2;0;20;2;20.75;20.75;20.75;20.75;8.965517241;5;0;0;6.206896552;4.5;5.517241379;8
0;1;0;0;0;1;1;1;0;2;15;2;36;36;36;36;0;0;10.76923077;5;20;4.5;12.30769231;8
0;0;1;0;1;1;1;0;2;2;5;0;51;51;51;51;28.88888889;7;17.77777778;9;11.11111111;2.5;0;0
1;0;0;0;1;1;0;1;2;2;0;2;26.33333333;26.33333333;26.33333333;26.33333333;6.666666667;5;12;7;0;0;12;8
1;0;0;0;1;0;0;1;2;0;0;2;28;28;28;28;27.27272727;9;0;0;0;0;18.18181818;4
0;1;0;0;1;1;1;0;2;2;10;0;22.75;22.75;22.75;22.75;22.35294118;5;8.235294118;7;12.94117647;2.5;0;0
0;0;1;0;0;1;1;1;0;2;15;2;40.33333333;40.33333333;40.33333333;40.33333333;0;0;20;7;10.90909091;6.5;20;4
0;0;1;0;1;1;1;0;2;2;10;0;31;31;31;31;8;7;10.4;5;5.6;6.5;0;0
0;1;0;0;0;1;1;1;0;2;15;2;24;24;24;24;0;0;68;9;28;4.5;36;4
0;0;0;1;1;0;1;1;2;0;15;2;37.5;37.5;37.5;37.5;28.88888889;5;0;0;28.88888889;6.5;20;6
0;1;0;0;1;1;1;0;2;2;10;0;44.5;44.5;44.5;44.5;22.35294118;5;8.235294118;7;12.94117647;2.5;0;0
0;0;0;1;1;0;1;1;2;0;25;2;59;59;59;59;33.33333333;5;0;0;24.44444444;6.5;33.33333333;6
1;0;0;0;1;1;1;0;2;2;25;0;32;32;32;32;13.33333333;7;24.44444444;5;24.44444444;6.5;0;0
1;0;0;0;1;0;1;1;2;0;25;2;53;53;53;53;9.473684211;9;0;0;20;4.5;9.473684211;4
1;0;0;0;1;0;1;1;2;0;5;2;43;43;43;43;16.25;5;0;0;18.75;6.5;11.25;6
0;0;1;0;0;1;1;1;0;2;20;2;40.33333333;40.33333333;40.33333333;40.33333333;0;0;54.28571429;7;14.28571429;2.5;31.42857143;8
1;0;0;0;1;0;1;1;2;0;20;2;69;69;69;69;18.57142857;5;0;0;8.571428571;6.5;18.57142857;6
0;0;1;0;0;1;1;1;0;2;25;2;42.33333333;42.33333333;42.33333333;42.33333333;0;0;12.72727273;9;20;2.5;16.36363636;6
0;0;0;1;0;1;1;1;0;2;20;2;37;37;37;37;0;0;23.63636364;5;5.454545455;4.5;16.36363636;8
0;1;0;0;0;1;1;1;0;2;15;2;36;36;36;36;0;0;13.04347826;5;4.347826087;4.5;7.826086957;8
1;0;0;0;1;1;1;0;2;2;5;0;62.5;62.5;62.5;62.5;12.72727273;9;27.27272727;7;12.72727273;2.5;0;0
0;0;0;1;0;1;1;1;0;2;20;2;37.25;37.25;37.25;37.25;0;0;14.66666667;7;9.333333333;6.5;12;4
0;0;1;0;1;0;1;0;2;0;25;0;20;20;20;20;33.33333333;5;0;0;6.666666667;4.5;0;0
0;1;0;0;0;1;1;1;0;2;25;2;69.5;69.5;69.5;69.5;0;0;12.94117647;5;8.235294118;4.5;12.94117647;8
0;1;0;0;0;1;1;1;0;2;10;2;25.33333333;25.33333333;25.33333333;25.33333333;0;0;2.857142857;9;12.38095238;4.5;16.19047619;4
0;0;1;0;0;0;1;1;0;0;20;2;16.5;16.5;16.5;16.5;0;0;0;0;11.57894737;2.5;11.57894737;8
1;0;0;0;1;1;0;1;2;2;0;2;69.5;69.5;69.5;69.5;12.94117647;9;20;5;0;0;12.94117647;6
0;0;0;1;0;1;1;1;0;2;15;2;54.66666667;54.66666667;54.66666667;54.66666667;0;0;11.57894737;5;11.57894737;4.5;10.52631579;8
0;0;0;1;0;1;0;1;0;2;0;2;30.5;30.5;30.5;30.5;0;0;1.666666667;9;0;0;7.222222222;6
0;0;0;1;1;0;1;1;2;0;5;2;24;24;24;24;7.2;7;0;0;5.6;4.5;7.2;8
0;0;1;0;1;0;1;1;2;0;20;2;20;20;20;20;8.965517241;5;0;0;6.206896552;4.5;5.517241379;8
0;0;0;1;1;1;0;1;2;2;0;2;25;25;25;25;9.333333333;7;20;5;0;0;10.66666667;8
0;0;1;0;1;0;1;0;2;0;25;0;69;69;69;69;28.88888889;7;0;0;33.33333333;4.5;0;0
0;0;0;1;1;1;0;1;2;2;0;2;23;23;23;23;22.66666667;5;9.333333333;7;0;0;12;8
0;0;0;1;1;0;1;1;2;0;10;2;21.2;21.2;21.2;21.2;30.90909091;7;0;0;16.36363636;6.5;18.18181818;4
0;0;1;0;1;1;1;0;2;2;10;0;33.2;33.2;33.2;33.2;3.333333333;9;7.222222222;7;3.888888889;2.5;0;0
0;0;0;1;1;0;1;1;2;0;10;2;40.5;40.5;40.5;40.5;4.444444444;5;0;0;10.55555556;4.5;5;8
0;1;0;0;1;1;1;0;2;2;25;0;53.33333333;53.33333333;53.33333333;53.33333333;10.4;5;5.6;7;15.2;4.5;0;0
0;0;1;0;0;0;1;1;0;0;20;2;34.25;34.25;34.25;34.25;0;0;0;0;6.666666667;2.5;14.66666667;8
0;0;1;0;1;1;1;0;2;2;15;0;39.5;39.5;39.5;39.5;23.63636364;5;10.90909091;9;12.72727273;4.5;0;0
0;0;0;1;0;0;1;1;0;0;15;2;21.2;21.2;21.2;21.2;0;0;0;0;12.72727273;4.5;16.36363636;8
0;0;0;1;0;0;1;1;0;0;5;2;60.5;60.5;60.5;60.5;0;0;0;0;14.66666667;2.5;22.66666667;8
0;0;0;1;0;1;1;1;0;2;5;2;54.66666667;54.66666667;54.66666667;54.66666667;0;0;7.368421053;7;20;6.5;11.57894737;4
0;0;1;0;0;1;1;0;0;2;10;0;67;67;67;67;0;0;12;5;12;4.5;0;0
0;0;1;0;0;1;1;1;0;2;5;2;31.5;31.5;31.5;31.5;0;0;11.57894737;9;5.263157895;4.5;9.473684211;4
0;0;1;0;0;1;1;1;0;2;10;2;62;62;62;62;0;0;3.888888889;7;4.444444444;6.5;8.333333333;4
1;0;0;0;1;1;1;0;2;2;20;0;40.33333333;40.33333333;40.33333333;40.33333333;2.777777778;5;2.777777778;7;7.222222222;6.5;0;0
0;1;0;0;0;1;1;0;0;2;15;0;63;63;63;63;0;0;15.71428571;5;8.571428571;4.5;0;0
0;0;0;1;1;1;0;1;2;2;0;2;27;27;27;27;42.22222222;5;20;7;0;0;24.44444444;8
0;0;0;1;1;0;1;1;2;0;15;2;28;28;28;28;5.454545455;7;0;0;18.18181818;6.5;30.90909091;4
